"module name","license","repository"
"@npmcli/installed-package-contents@4.0.0","ISC","https://github.com/npm/installed-package-contents"
"@npmcli/map-workspaces@5.0.3","ISC","https://github.com/npm/map-workspaces"
"@npmcli/metavuln-calculator@9.0.3","ISC","https://github.com/npm/metavuln-calculator"
"@npmcli/name-from-folder@4.0.0","ISC","https://github.com/npm/name-from-folder"
"@npmcli/node-gyp@5.0.0","ISC","https://github.com/npm/node-gyp"
"@npmcli/package-json@7.0.5","ISC","https://github.com/npm/package-json"
"@npmcli/promise-spawn@9.0.1","ISC","https://github.com/npm/promise-spawn"
"@npmcli/query@5.0.0","ISC","https://github.com/npm/query"
"@npmcli/redact@4.0.0","ISC","https://github.com/npm/redact"
"@npmcli/run-script@10.0.4","ISC","https://github.com/npm/run-script"
"@nuxt/cli@3.37.0","MIT","https://github.com/nuxt/cli"
"@nuxt/devalue@2.0.2","MIT","https://github.com/nuxt/devalue"
"@nuxt/devtools-kit@2.7.0","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools-kit@3.2.4","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools-wizard@3.2.4","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools@3.2.4","MIT","https://github.com/nuxt/devtools"
"@nuxt/eslint-config@1.16.0","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint-plugin@1.16.0","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint@1.16.0","MIT","https://github.com/nuxt/eslint"
"@nuxt/fonts@0.14.0","MIT","https://github.com/nuxt/fonts"
"@nuxt/image@2.0.0","MIT","https://github.com/nuxt/image"
"@nuxt/kit@4.5.0","MIT","https://github.com/nuxt/nuxt"
"@nuxt/nitro-server@4.5.0","MIT","https://github.com/nuxt/nuxt"
"@nuxt/schema@4.5.0","MIT","https://github.com/nuxt/nuxt"
"@nuxt/scripts@0.13.4","MIT","https://github.com/nuxt/scripts"
"@nuxt/telemetry@2.8.0","MIT","https://github.com/nuxt/telemetry"
"@nuxt/test-utils@3.22.0","MIT","https://github.com/nuxt/test-utils"
"@nuxt/vite-builder@3.21.9","MIT","https://github.com/nuxt/nuxt"
"@nuxt/vite-builder@4.5.0","MIT","https://github.com/nuxt/nuxt"
"@nuxtjs/i18n@10.4.1","MIT","https://github.com/nuxt-modules/i18n"
"@nuxtjs/storybook@9.0.1","MIT","https://github.com/nuxt-modules/storybook"
"@nuxtjs/tailwindcss@6.14.0","MIT","https://github.com/nuxt-modules/tailwindcss"
"@oclif/core@4.12.0","MIT","https://github.com/oclif/core"
"@oclif/plugin-help@6.2.53","MIT","https://github.com/oclif/plugin-help"
"@oclif/plugin-not-found@3.2.88","MIT","https://github.com/oclif/plugin-not-found"
"@oclif/plugin-plugins@5.4.84","MIT","https://github.com/oclif/plugin-plugins"
"@octokit/app@16.1.2","MIT","https://github.com/octokit/app.js"
"@octokit/auth-app@8.2.0","MIT","https://github.com/octokit/auth-app.js"
"@octokit/auth-oauth-app@9.0.3","MIT","https://github.com/octokit/auth-oauth-app.js"
"@octokit/auth-oauth-device@8.0.3","MIT","https://github.com/octokit/auth-oauth-device.js"
"@octokit/auth-oauth-user@6.0.2","MIT","https://github.com/octokit/auth-oauth-user.js"
"@octokit/auth-token@6.0.0","MIT","https://github.com/octokit/auth-token.js"
"@octokit/auth-unauthenticated@7.0.3","MIT","https://github.com/octokit/auth-unauthenticated.js"
"@octokit/core@7.0.6","MIT","https://github.com/octokit/core.js"
"@octokit/endpoint@11.0.3","MIT","https://github.com/octokit/endpoint.js"
"@octokit/graphql@9.0.3","MIT","https://github.com/octokit/graphql.js"
"@octokit/oauth-app@8.0.3","MIT","https://github.com/octokit/oauth-app.js"
"@octokit/oauth-authorization-url@8.0.0","MIT","https://github.com/octokit/oauth-authorization-url.js"
"@octokit/oauth-methods@6.0.2","MIT","https://github.com/octokit/oauth-methods.js"
"@octokit/openapi-types@27.0.0","MIT","https://github.com/octokit/openapi-types.ts"
"@octokit/openapi-webhooks-types@12.1.0","MIT","https://github.com/octokit/openapi-webhooks"
"@octokit/plugin-paginate-graphql@6.0.0","MIT","https://github.com/octokit/plugin-paginate-graphql.js"
"@octokit/plugin-paginate-rest@14.0.0","MIT","https://github.com/octokit/plugin-paginate-rest.js"
"@octokit/plugin-rest-endpoint-methods@17.0.0","MIT","https://github.com/octokit/plugin-rest-endpoint-methods.js"
"@octokit/plugin-retry@8.1.0","MIT","https://github.com/octokit/plugin-retry.js"
"@octokit/plugin-throttling@11.0.3","MIT","https://github.com/octokit/plugin-throttling.js"
"@octokit/request-error@7.1.0","MIT","https://github.com/octokit/request-error.js"
"@octokit/request@10.0.11","MIT","https://github.com/octokit/request.js"
"@octokit/types@16.0.0","MIT","https://github.com/octokit/types.ts"
"@octokit/webhooks-methods@6.0.0","MIT","https://github.com/octokit/webhooks-methods.js"
"@octokit/webhooks@14.2.0","MIT","https://github.com/octokit/webhooks.js"
"@one-ini/wasm@0.1.1","MIT","https://github.com/one-ini/core"
"@opentelemetry/api-logs@0.218.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/api-logs@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/api@1.9.1","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/auto-instrumentations-node@0.77.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/configuration@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/context-async-hooks@2.10.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/context-async-hooks@2.8.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/core@2.10.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/core@2.8.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-logs-otlp-grpc@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-logs-otlp-http@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-logs-otlp-proto@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-metrics-otlp-grpc@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-metrics-otlp-http@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-metrics-otlp-proto@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-prometheus@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-grpc@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-http@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-trace-otlp-proto@0.219.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/exporter-zipkin@2.8.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@opentelemetry/instrumentation-amqplib@0.66.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-aws-lambda@0.71.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-aws-sdk@0.74.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-bunyan@0.64.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-cassandra-driver@0.64.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-connect@0.62.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-cucumber@0.35.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-dataloader@0.36.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-dns@0.62.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-express@0.67.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
"@opentelemetry/instrumentation-fs@0.38.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js-contrib"
